,date,teams,players
0,"August 1, 1990","{'POR', 'SAC'}","{'Danny Ainge', 'Byron Irvin'}"
1,"August 1, 1990","{'GSW', 'PHI'}",{'Manute Bol'}
2,"August 1, 1990","{'MIL', 'SAS'}","{'Paul Pressey', 'Frank Brickowski'}"
3,"August 1, 1990","{'DEN', 'MIL'}","{'Terry Mills', 'Danny Schayes'}"
4,"August 3, 1990","{'DEN', 'LAL'}",{'Orlando Woolridge'}
5,"September 25, 1990","{'SAS', 'LAL'}",{'Mark McNamara'}
6,"September 25, 1990","{'GSW', 'LAL'}",{'Terry Teagle'}
7,"September 27, 1990","{'HOU', 'ATL'}","{'Tim McCormick', 'John Lucas', 'Roy Marble', 'Kenny Smith'}"
8,"September 28, 1990","{'DEN', 'DET'}",{'Anthony Cook'}
9,"September 28, 1990","{'PHO', 'WSB'}",{'Mike Morrison'}
10,"October 2, 1990","{'MIA', 'CHI'}",{'Jeff Sanders'}
11,"October 24, 1990","{'DEN', 'SEA'}",{'Avery Johnson'}
12,"October 28, 1990","{'PHO', 'PHI'}",{'Jayson Williams'}
13,"October 30, 1990","{'WSB', 'SAC'}","{'Steve Colter', 'Byron Irvin'}"
14,"October 30, 1990","{'SAS', 'ORL'}","{'Mark McNamara', 'Sidney Green'}"
15,"November 10, 1990","{'MIN', 'PHI'}",{'Bob Thornton'}
16,"December 7, 1990","{'PHO', 'SEA'}","{'Eddie Johnson', 'Xavier McDaniel'}"
17,"January 4, 1991","{'CHH', 'PHI'}","{'Dave Hoppen', 'Armen Gilliam', 'Mike Gminski'}"
18,"January 16, 1991","{'MIL', 'NJN'}","{'Greg Anderson', 'Lester Conner'}"
19,"January 23, 1991","{'DEN', 'POR', 'NJN'}","{'Greg Anderson', 'DraÅ¾en PetroviÄ\x87', 'Terry Mills', 'Walter Davis'}"
20,"January 29, 1991","{'CHH', 'SAC'}",{'Eric Leckner'}
21,"February 15, 1991","{'MIL', 'SEA'}","{'Dale Ellis', 'Ricky Pierce'}"
22,"February 20, 1991","{'LAC', 'SEA'}","{'Benoit Benjamin', 'Olden Polynice'}"
23,"June 11, 1991","{'DEN', 'WSB'}",{'Michael Adams'}
24,"June 26, 1991","{'LAC', 'ATL'}",{'Doc Rivers'}
25,"June 26, 1991","{'GSW', 'POR'}",{'Lamont Strothers'}
26,"June 26, 1991","{'CLE', 'HOU'}",{'Keith Hughes'}
27,"June 26, 1991","{'DEN', 'LAC'}",{'Winston Garland'}
